,This Week,Last week,End 2018,Ctry,Name,Average Points,Total Points,Events Played (Divisor),Points Lost (2019),Points Gained (2019),Events Played (Actual)
0,1,1,1,,Brooks Koepka,11.0251,452.03,41,-342.33,380.49,41
1,2,2,8,,Rory McIlroy,9.7936,489.68,50,-263.24,496.25,50
2,3,3,6,,Jon Rahm,8.4548,414.28,49,-282.75,374.47,49
3,4,5,4,,Justin Thomas,7.465,350.85,47,-339.81,312.68,47
4,5,4,3,,Dustin Johnson,7.4267,311.92,42,-351.88,301.38,42
5,6,7,13,,Tiger Woods,6.8999,275.99,40,-168.84,230.85,33
6,7,6,18,,Patrick Cantlay,6.578,289.43,44,-161.95,270.36,44
7,8,8,2,,Justin Rose,6.3872,306.59,48,-361.31,206.63,48
8,9,9,10,,Xander Schauffele,5.9735,304.65,51,-244.19,263.54,51
9,10,10,12,,Tommy Fleetwood,5.8238,302.84,52,-236.8,260.48,57
10,11,11,21,,Webb Simpson,5.2614,247.29,47,-182.18,206.39,47
11,12,17,15,,Patrick Reed,5.1195,266.22,52,-208.3,220.28,60
12,13,12,5,,Bryson DeChambeau,5.0459,262.38,52,-264.95,168.13,53
13,14,13,7,,Francesco Molinari,4.9184,216.41,44,-243.76,160.35,44
14,15,14,22,,Paul Casey,4.8634,243.17,50,-192.98,249.86,50
15,16,16,9,,Tony Finau,4.8483,252.11,52,-210.15,177.64,56
16,17,18,31,,Gary Woodland,4.8297,251.14,52,-161.0,238.4,52
17,18,15,41,,Adam Scott,4.728,203.31,43,-109.35,199.38,43
18,19,19,75,,Shane Lowry,4.5607,232.6,51,-109.2,247.19,51
19,20,24,25,,Louis Oosthuizen,4.3723,205.5,47,-129.14,178.09,47
20,21,20,28,,Hideki Matsuyama,4.2709,222.08,52,-163.17,214.68,53
21,22,22,11,,Rickie Fowler,4.1775,179.63,43,-237.54,166.41,43
22,23,21,185,,Bernd Wiesberger,4.1724,166.89,40,-48.05,178.21,37
23,24,23,34,,Matt Kuchar,4.0788,212.1,52,-185.6,230.87,52
24,25,25,39,,Matthew Fitzpatrick,3.8621,200.83,52,-130.79,187.83,54
25,26,40,26,,Henrik Stenson,3.6213,162.96,45,-128.64,139.12,45
26,27,26,48,,Kevin Na,3.5561,170.69,48,-106.95,151.64,48
27,28,27,20,,Marc Leishman,3.4817,174.09,50,-197.4,147.37,50
28,29,28,81,,Danny Willett,3.3156,172.41,52,-51.29,142.14,52
29,30,29,44,,Matt Wallace,3.2188,167.38,52,-115.32,150.46,60
30,31,30,23,,Tyrrell Hatton,3.1737,165.03,52,-152.65,133.65,52
31,32,34,53,,Shugo Imahira,3.1388,163.22,52,-82.34,132.94,59
32,33,32,36,,Billy Horschel,3.0803,160.18,52,-112.95,120.48,56
33,34,31,14,,Jason Day,3.0614,125.52,41,-190.22,93.52,41
34,35,37,38,,Kevin Kisner,3.0596,159.1,52,-143.76,157.07,53
35,36,33,98,,Sungjae Im,3.0287,157.49,52,-81.04,163.04,69
36,37,36,63,,Chez Reavie,2.987,155.32,52,-107.62,165.09,56
37,38,35,24,,Sergio Garcia,2.8831,144.16,50,-151.0,123.2,50
38,39,38,56,,Abraham Ancer,2.8825,149.89,52,-79.39,120.32,59
39,40,39,29,,Rafa Cabrera Bello,2.7859,144.87,52,-154.77,121.4,58
40,41,42,40,,Ian Poulter,2.6051,135.47,52,-138.21,129.44,53
41,42,43,52,,Byeong Hun An,2.6,135.2,52,-97.36,112.22,55
42,43,44,17,,Jordan Spieth,2.5853,126.68,49,-207.28,113.53,49
43,44,41,16,,Bubba Watson,2.5747,115.86,45,-170.15,76.34,45
44,45,45,50,,Brandt Snedeker,2.4756,128.73,52,-83.6,109.1,55
45,46,50,132,,Victor Perez,2.473,121.18,49,-39.82,99.23,49
46,47,46,70,,Andrew Putnam,2.4574,125.33,51,-81.29,111.21,51
47,48,47,69,,Adam Hadwin,2.4247,121.24,50,-89.32,111.83,50
48,49,51,141,,Erik van Rooyen,2.4063,125.13,52,-58.09,121.73,56
49,50,48,30,,Keegan Bradley,2.4053,125.07,52,-129.71,80.26,55
50,51,49,35,,Eddie Pepperell,2.4026,108.12,45,-106.14,75.79,45
51,52,52,27,,Cameron Smith,2.3249,120.9,52,-138.38,77.13,52
52,53,53,77,,Tom Lewis,2.2139,115.12,52,-60.94,91.91,52
53,54,54,58,,Charles Howell III,2.2046,114.64,52,-90.91,105.41,57
54,55,55,223,,Jim Furyk,2.1644,86.58,40,-44.16,99.25,37
55,56,56,155,,Joaquin Niemann,2.1523,101.16,47,-34.78,92.74,47
56,57,59,123,,Jazz Janewattananond,2.1402,111.29,52,-66.77,109.54,65
57,58,57,62,,Lee Westwood,2.1268,89.32,42,-67.13,64.45,42
58,59,62,71,,Shaun Norris,2.1223,110.36,52,-68.48,84.22,65
59,60,60,267,,Corey Conners,2.1022,109.32,52,-41.02,116.53,58
60,61,58,32,,Phil Mickelson,2.09,98.23,47,-147.93,92.79,47
61,62,61,129,,Jason Kokrak,2.087,106.44,51,-68.51,110.76,51
62,63,72,271,,Chan Kim,2.0355,81.42,40,-29.76,85.39,27
63,64,63,100,,C.T. Pan,2.0218,105.13,52,-68.44,96.7,56
64,65,64,42,,Haotong Li,2.0212,105.1,52,-121.66,88.97,54
65,66,68,247,,Robert MacIntyre,2.0034,104.18,52,-23.57,99.81,54
66,67,67,121,,Mike Lorenzo-Vera,2.0009,90.04,45,-52.0,82.5,45
67,68,69,1589,,Scottie Scheffler,1.9995,79.98,40,-12.82,91.58,35
68,69,65,19,,Alex Noren,1.9972,101.86,51,-158.65,53.43,51
69,70,70,2006,,Collin Morikawa,1.9969,79.88,40,-6.56,86.44,15
70,71,66,85,,Justin Harding,1.9843,103.18,52,-76.32,95.99,60
71,72,73,2006,,Brendon Todd,1.9774,79.1,40,-1.63,80.73,29
72,73,71,136,,Lucas Glover,1.9727,94.69,48,-57.17,96.79,48
73,74,74,99,,Andrea Pavan,1.9378,100.76,52,-51.72,78.41,56
74,75,75,225,,Paul Waring(Feb1985),1.9241,86.58,45,-36.93,85.12,45
75,76,78,190,,Kurt Kitayama,1.8874,92.48,49,-30.51,84.36,49
76,77,76,347,,JT Poston,1.8844,97.99,52,-34.16,106.44,52
77,78,77,45,,Lucas Bjerregaard,1.8666,97.07,52,-93.84,61.94,55
78,79,79,92,,Cameron Champ,1.8407,95.71,52,-38.84,72.12,55
79,80,80,72,,Thomas Pieters,1.8249,94.89,52,-73.3,78.69,52
80,81,81,228,,Matthias Schwab,1.8217,94.73,52,-28.93,86.52,56
81,82,113,220,,Ryo Ishikawa,1.821,83.76,46,-29.83,72.3,46
82,83,84,154,,Marcus Kinhult,1.799,86.35,48,-45.8,78.5,48
83,84,82,111,,Joost Luiten,1.7727,70.91,40,-60.04,76.62,40
84,85,83,200,,Rory Sabbatini,1.7684,91.96,52,-44.67,95.93,55
85,86,85,203,,Sunghoon Kang,1.7338,90.16,52,-58.68,103.86,55
86,87,86,43,,Thorbjorn Olesen,1.7084,68.34,40,-97.32,32.26,40
87,88,87,78,,Ryan Palmer,1.6918,74.44,44,-59.02,57.52,44
88,89,88,477,,Nate Lashley,1.6885,74.29,44,-24.27,80.92,44
89,90,89,521,,Christiaan Bezuidenhout,1.6785,87.28,52,-19.85,90.49,58
90,91,93,197,,Benjamin Hebert,1.677,83.85,50,-38.95,81.73,50
91,92,91,94,,Danny Lee,1.6646,86.56,52,-58.2,63.44,57
92,93,90,96,,J.B. Holmes,1.6505,77.57,47,-77.13,80.56,47
93,94,92,80,,Ryan Moore,1.6295,73.33,45,-69.21,59.22,45
94,95,94,61,,Siwoo Kim,1.6133,83.89,52,-98.95,81.6,61
95,96,97,1157,,Viktor Hovland,1.6121,64.48,40,-7.19,68.52,19
96,97,95,102,,Jorge Campillo,1.604,83.41,52,-71.74,80.92,54
97,98,96,150,,Keith Mitchell,1.6004,83.22,52,-64.5,89.96,54
98,99,101,169,,Junggon Hwang,1.5985,83.12,52,-41.36,70.97,53
99,100,98,37,,Kiradech Aphibarnrat,1.5741,81.85,52,-130.89,63.1,58
